customer_id,age,gender,region,signup_date,marketing_opt_in,support_tickets
200000,44,F,OCC,2023-01-29,1,0
200001,54,F,ARA,2022-08-08,1,0
200002,27,F,BRE,2023-12-29,1,0
200003,55,M,OCC,2023-04-26,1,1
200004,73,M,IDF,2021-01-19,1,1
200005,26,M,GES,2022-02-19,1,3
200006,37,M,OCC,2021-11-14,1,0
200007,59,F,BFC,2022-10-06,0,2
200008,55,F,IDF,2021-10-18,1,2
200009,58,F,ARA,2023-11-24,1,1
200010,51,M,ARA,2021-11-24,1,0
200011,58,M,CVL,2022-07-26,1,3
200012,54,M,HDF,2021-05-15,1,2
200013,22,unknown,BFC,2023-09-24,0,0
200014,63,unknown,ARA,2023-09-26,1,1
200015,44,,NAQ,2023-05-20,1,1
200016,21,F,PAC,2022-01-21,1,0
200017,42,F,IDF,2021-03-06,1,2
200018,44,F,BFC,2023-02-18,1,2
200019,23,M,HDF,2022-04-15,1,1
200020,77,,OCC,2023-12-21,0,0
200021,31,M,ARA,2023-02-04,1,0
200022,37,M,GES,2022-08-13,1,1
200023,44,M,,2023-12-17,1,0
200024,67,F,,2023-05-27,0,0
200025,62,F,IDF,2022-05-17,0,1
200026,64,F,PAC,2021-01-21,0,1
200027,32,M,IDF,2021-04-12,1,1
200028,68,M,IDF,2022-05-01,1,1
200029,67,M,OCC,2022-09-08,1,1
200030,45,F,OCC,2021-02-03,0,0
200031,50,F,GES,2021-05-19,0,0
200032,20,F,NAQ,2023-02-11,1,0
200033,63,M,ARA,2023-04-03,0,3
200034,75,M,PAC,2021-02-02,0,1
200035,46,F,IDF,2022-07-10,0,1
200036,50,M,,2021-03-30,1,2
200037,47,F,PAC,2023-03-04,1,2
200038,22,M,NAQ,2023-07-03,0,0
200039,55,F,OCC,2023-08-10,0,2
200040,61,F,ARA,2022-10-18,1,1
200041,73,M,BFC,2022-11-20,1,1
200042,73,F,OCC,2023-10-12,1,0
200043,47,F,NAQ,2022-11-02,0,0
200044,75,F,BFC,2022-05-04,0,2
200045,49,F,BFC,2023-04-07,1,0
200046,56,M,ARA,2022-10-09,1,1
200047,54,M,NAQ,2023-07-12,1,0
200048,77,M,OCC,2022-07-29,1,1
200049,62,F,IDF,2023-08-10,1,1
200050,25,M,IDF,2021-02-19,1,2
200051,22,F,IDF,2021-02-09,0,3
200052,42,F,BFC,2021-04-19,0,2
200053,48,F,OCC,2022-09-02,1,0
200054,58,M,OCC,2023-02-16,1,0
200055,46,M,BFC,2021-08-25,1,1
200056,48,M,ARA,2021-06-20,1,0
200057,73,,HDF,2023-08-01,1,1
200058,38,M,IDF,2023-04-02,1,0
200059,47,M,IDF,2022-12-11,0,1
200060,51,,OCC,2022-06-19,1,1
200061,46,F,PAC,2022-04-06,1,2
200062,76,F,HDF,2021-01-23,1,0
200063,75,F,OCC,2021-07-25,1,1
200064,48,M,HDF,2023-09-10,1,0
200065,45,M,PAC,2022-01-07,0,3
200066,53,M,PAC,2023-02-11,0,0
200067,28,F,NAQ,2023-02-10,1,1
200068,43,M,IDF,2021-12-05,0,0
200069,31,F,ARA,2021-08-12,1,0
200070,26,F,IDF,2023-01-28,0,0
