customer_id,is_active
200000,yes
200001,yes
200002,no
200003,yes
200004,no
200005,no
200006,yes
200007,no
200008,yes
200009,no
200010,no
200011,no
200012,no
200013,no
200014,yes
200015,yes
200016,yes
200017,yes
200018,no
200019,no
200020,yes
200021,no
200022,no
200023,yes
200024,yes
200025,yes
200026,no
200027,no
200028,no
200029,yes
200030,yes
200031,no
200032,yes
200033,no
200034,yes
200035,no
200036,no
200037,no
200038,yes
200039,yes
200040,yes
200041,yes
200042,yes
200043,no
200044,yes
200045,yes
200046,yes
200047,no
200048,yes
200049,yes
200050,yes
200051,no
200052,no
200053,yes
200054,no
200055,yes
200056,no
200057,yes
200058,no
200059,no
200060,yes
200061,yes
200062,yes
200063,yes
200064,yes
200065,yes
200066,no
200067,yes
200068,yes
200069,no
200070,yes
200071,yes
200072,yes
200073,yes
200074,no
200075,yes
200076,no
200077,yes
200078,yes
200079,yes
200080,yes
200081,yes
200082,no
200083,no
200084,yes
200085,yes
200086,yes
200087,yes
200088,yes
200089,yes
200090,yes
200091,yes
200092,yes
200093,no
200094,yes
200095,no
200096,no
200097,yes
200098,no
200099,yes
200100,yes
200101,yes
200102,yes
200103,yes
200104,yes
200105,yes
200106,yes
200107,yes
200108,yes
200109,yes
200110,no
200111,yes
200112,no
200113,yes
200114,yes
200115,no
200116,yes
200117,no
200118,yes
200119,no
200120,yes
200121,yes
200122,yes
200123,yes
200124,no
200125,yes
200126,no
200127,yes
200128,yes
200129,no
200130,yes
200131,yes
200132,yes
200133,yes
200134,yes
200135,yes
200136,yes
200137,yes
200138,no
200139,no
200140,no
200141,yes
200142,yes
200143,yes
200144,yes
200145,yes
200146,yes
200147,yes
200148,yes
200149,yes
200150,no
200151,no
200152,no
200153,no
200154,no
200155,no
200156,no
200157,no
200158,yes
200159,yes
200160,no
200161,yes
200162,yes
200163,no
200164,no
200165,yes
200166,yes
200167,yes
200168,no
200169,yes
200170,yes
200171,yes
200172,yes
200173,no
200174,yes
200175,yes
200176,yes
200177,no
200178,yes
200179,yes
200180,yes
200181,no
200182,no
200183,no
200184,yes
200185,no
200186,no
200187,yes
200188,no
200189,yes
200190,yes
200191,no
200192,yes
200193,yes
200194,yes
200195,yes
200196,yes
200197,yes
200198,no
200199,no
200200,no
200201,yes
200202,yes
200203,no
200204,yes
200205,yes
200206,yes
200207,yes
200208,yes
200209,yes
200210,yes
200211,yes
200212,yes
200213,yes
200214,no
200215,yes
200216,no
200217,no
200218,yes
200219,yes
200220,yes
200221,yes
